MovieID	IDSubtitleFile	MovieName	MovieYear	SeriesSeason	SubHearingImpaired
232	390	Red Planet	2000	0	0
233	90058	Below	2002	0	0
234	1952955384	Dutch	1991	0	0
235	1955026439	F/X2	1991	0	0
236	22906	The Lord of the Rings: The Fellowship of the Ring	2001	0	0
238	1955437929	Highway	2002	0	0
239	1955348242	Necronomicon: Book of Dead	1993	0	0
241	1951608585	Pirates of Silicon Valley	1999	0	0
242	80705	School of Rock	2003	0	0
243	115394	Unstoppable	2004	0	0
246	408	Gangs of New York	2002	0	0
247	123670	Sideways	2004	0	1
248	102469	Dawn of the Dead	2004	0	0
249	416	Catwoman	2004	0	0
251	1951739156	Enemy at the Gates	2001	0	0
255	80036	Brother Bear	2003	0	1
256	674	Alexander	2004	0	0
261	99904	Ronin	1998	0	0
262	45466	Die Another Day	2002	0	0
264	71218	The Devil's Advocate	1997	0	0
268	1951648580	Bowling for Columbine	2002	0	0
269	24609	The English Patient	1996	0	1
270	40830	Deuce Bigalow: Male Gigolo	1999	0	0
271	114592	Anchorman: The Legend of Ron Burgundy	2004	0	0
272	114869	Without a Paddle	2004	0	0
273	272591	Envy	2004	0	1
278	481	Dark Water	2005	0	0
282	486	Spanglish	2004	0	0
299	519	In Enemy Hands	2004	0	0
302	172403	Man on Fire	2004	0	1
303	107215	The Terminal	2004	0	0
305	540	Hotel Rwanda	2004	0	0
307	543	Elektra	2005	0	1
308	36489	CQ	2001	0	0
311	1151	Alone in the Dark	2005	0	0
313	549	The Puppet Masters	1994	0	0
315	86194	Bossa Nova	2000	0	0
317	2357	Lost Highway	1997	0	0
319	559	Harry Potter and the Prisoner of Azkaban	2004	0	0
321	831	Before Sunrise	1995	0	0
330	576	Maria Full of Grace	2004	0	0
334	61833	Fear and Loathing in Las Vegas	1998	0	1
336	586	Doctor Dolittle	1998	0	0
340	1205	Hostage	2005	0	0
344	117060	Mean Creek	2004	0	0
352	136932	The Ring Two	2005	0	1
353	1122	Hitch	2005	0	0
355	126746	Birth	2004	0	0
357	1134	Son of the Mask	2005	0	0
362	1951683619	Kill Bill: Vol. 2	2004	0	0
363	80335	Titan A.E.	2000	0	0
365	133885	Sin City	2005	0	0
367	648	Suspect Zero	2004	0	0
368	102630	Garfield	2004	0	0
372	658	Seabiscuit	2003	0	0
373	73452	Bruce Almighty	2003	0	0
374	661	Hellraiser: Hellseeker	2002	0	0
377	668	Blow	2001	0	0
378	92805	Starship Troopers 2: Hero of the Federation	2004	0	0
379	671	Halloween: Resurrection	2002	0	0
381	55566	Two Weeks Notice	2002	0	0
382	768	White Noise	2005	0	0
384	1953159352	EuroTrip	2004	0	0
388	23839	See Spot Run	2001	0	0
389	115914	Cellular	2004	0	0
390	1957206439	The Cookout	2004	0	1
393	143432	The Amityville Horror	2005	0	0
395	708	The Last Samurai	2003	0	0
397	262824	On the Line	2001	0	1
398	33075	Ali G Indahouse	2002	0	0
400	721	The Rules of Attraction	2002	0	1
402	58869	Old School	2003	0	1
403	126747	A Love Song for Bobby Long	2004	0	0
404	66203	Down with Love	2003	0	1
410	745	Paparazzi	2004	0	0
411	747	Before Sunset	2004	0	0
412	748	Point Break	1991	0	0
415	300853	Stargate SG-1	1997	0	0
417	1435	Wonderful Days	2003	0	0
419	190399	Serenity	2005	0	0
421	766	Ray	2004	0	0
422	772	Shakespeare in Love	1998	0	0
424	776	Bridget Jones: The Edge of Reason	2004	0	0
425	79917	Pieces of April	2003	0	0
426	1951714315	Saving Private Ryan	1998	0	1
430	783	The Assassination of Richard Nixon	2004	0	0
431	784	The Woodsman	2004	0	0
433	788	Racing Stripes	2005	0	0
434	789	Christmas with the Kranks	2004	0	0
437	1141	Mr. & Mrs. Smith	2005	0	0
439	1318	xXx: State of the Union	2005	0	0
440	799	The Count of Monte Cristo	2002	0	0
444	806	Loveholstery	2004	0	0
445	1024	Be Cool	2005	0	0
446	34010	Groundhog Day	1993	0	0
447	74974	House of the Dead	2003	0	0
451	44627	The Nightmare Before Christmas	1993	0	0
452	94404	Timeline	2003	0	0
453	1084	A Series of Unfortunate Events	2004	0	0
454	826	The Station Agent	2003	0	0
455	97459	Around the World in 80 Days	2004	0	0
456	29434	Hackers	1995	0	0
457	126828	Riding the Bullet	2004	0	0
461	1951612483	The Punisher	2004	0	0
463	1256	Wild Things	1998	0	0
468	67209	Poolhall Junkies	2002	0	0
471	870	Falling Down	1993	0	0
472	160954	Nightbreed	1990	0	1
478	1954064073	For Love or Country: The Arturo Sandoval Story	2000	0	0
479	85404	Hercules	1997	0	0
480	889	Get Shorty	1995	0	0
482	895	Real Women Have Curves	2002	0	0
484	262153	Screwed	2000	0	0
485	54676	Kingdom of Heaven	2005	0	0
489	209154	Vampire Hunter D: Bloodlust	2000	0	0
497	86029	Gothika	2003	0	0
498	92668	Jackie Brown	1997	0	1
506	939	405	2000	0	0
507	118889	The Notebook	2004	0	0
508	1955315926	South Park	1997	0	0
512	1954492981	Battlestar Galactica	2003	0	0
516	235409	Night Watch	2004	0	0
521	125834	The Life Aquatic with Steve Zissou	2004	0	0
522	20812	Road Trip	2000	0	1
524	78351	American Splendor	2003	0	0
526	1951896307	Star Wars: Episode I - The Phantom Menace	1999	0	0
527	1955029675	Star Wars: Episode III - Revenge of the Sith	2005	0	1
528	131785	Pokemon: The First Movie - Mewtwo Strikes Back	1998	0	1
529	61375	How to Lose a Guy in 10 Days	2003	0	0
531	1119	Miss Congeniality 2: Armed & Fabulous	2005	0	0
533	992	But I'm a Cheerleader	1999	0	0
534	110801	Vampiyaz	2004	0	1
535	1951921328	The Chronicles of Riddick: Dark Fury	2004	0	0
539	42517	xXx	2002	0	0
540	1951686925	The Machinist	2004	0	0
542	74153	S.W.A.T.	2003	0	0
544	20557	Blade	1998	0	1
546	53792	As Good as It Gets	1997	0	0
547	20112	Anaconda	1997	0	0
551	1036	Pooh's Heffalump Movie	2005	0	0
557	1667	Sahara	2005	0	0
559	79323	Enough	2002	0	0
560	130204	Boogeyman	2005	0	0
561	1222	Hide and Seek	2005	0	0
562	31387	Kung Pow: Enter the Fist	2002	0	1
563	41230	Queen of the Damned	2002	0	0
564	310979	Gladiator	2000	0	0
568	1994	Madagascar	2005	0	0
569	112695	Event Horizon	1997	0	0
570	2749	Coffee and Cigarettes	2003	0	0
576	1107	Coach Carter	2005	0	0
577	102638	Vampires	1998	0	0
579	129223	Star Wars: Revelations	2005	0	0
581	1955293585	Another 91/2 Weeks	1997	0	1
591	150469	Terminator 2: Judgment Day	1991	0	0
595	95564	25th Hour	2002	0	0
596	78906	Freaky Friday	2003	0	1
600	1167	Hellraiser: Deader	2005	0	1
601	1953137527	The Waterboy	1998	0	1
603	21124	Nutty Professor II: The Klumps	2000	0	1
605	132552	The Pacifier	2005	0	1
608	35772	Payback	1999	0	0
611	30204	Ravenous	1999	0	0
613	29231	The Majestic	2001	0	0
615	1956762008	SpongeBob SquarePants	1999	0	0
617	156900	X-Men	2000	0	1
618	1214	The Yes Men	2003	0	0
623	128006	In Good Company	2004	0	1
624	116328	First Daughter	2004	0	1
625	103553	Dorm Daze	2003	0	0
626	64938	What a Girl Wants	2003	0	0
630	1247	The Cell	2000	0	0
632	1251	Cast Away	2000	0	0
634	131156	Unleashed	2005	0	0
636	1350	The Life of David Gale	2003	0	0
637	1265	The Way of the Gun	2000	0	0
638	86769	Black Hawk Down	2001	0	0
642	1280	Wild at Heart	1990	0	0
643	1286	Mystic River	2003	0	0
649	1305	The Usual Suspects	1995	0	0
650	1306	Cop Land	1997	0	1
651	136424	Fantastic Four	2005	0	0
652	63554	House of 1000 Corpses	2003	0	0
655	1952016502	Citizen Toxie: The Toxic Avenger IV	2000	0	0
658	1319	Casper	1995	0	0
664	1330	Bulworth	1998	0	0
665	1333	Freddy vs. Jason	2003	0	0
666	236537	War of the Worlds	2005	0	0
668	1954482075	Digimon: The Movie	2000	0	0
675	1951737248	Fantasia 2000	1999	0	0
679	136357	Guess Who	2005	0	0
683	137767	Monster-in-Law	2005	0	0
692	296544	Devour	2005	0	0
693	29932	A Walk to Remember	2002	0	0
696	1403	Snatch	2000	0	0
697	1957655440	TC 2000	1993	0	0
