sub1,sub2,delta
99,89,0.3626213102469983
99,6,0.36507573388663467
99,36,0.38635078438768855
99,31,0.3892735244911549
89,6,0.3786333177868258
89,36,0.2613210125025312
89,31,0.3459158902565179
6,36,0.3646024526802331
6,31,0.3458377241635141
36,31,0.2587907229527193
