Source,Target,Weight
fargo,the_departed,0.930315
fargo,reservoir_dogs,0.711015
fargo,sw7,0.559948
hobbit1,hobbit3,1.21826
hobbit1,lotr2,0.913046
hobbit1,rogue_one,0.829333
hobbit3,hobbit1,1.21826
hobbit3,rogue_one,0.810898
hobbit3,lotr2,0.546079
lotr1,lotr2,1.208007
lotr1,lotr3,0.742227
lotr1,hobbit1,0.704824
lotr2,lotr3,1.310111
lotr2,lotr1,1.208007
lotr2,sw2,0.959545
lotr3,lotr2,1.310111
lotr3,sw2,0.96226
lotr3,pirates1,0.764393
pirates1,lotr3,0.764393
pirates1,hobbit1,0.693531
pirates1,lotr2,0.690896
pirates2,sw2,0.889807
pirates2,sw5,0.883368
pirates2,pirates3,0.822123
pirates3,sw2,0.865584
pirates3,pirates2,0.822123
pirates4,sw2,0.865584
pirates4,pirates2,0.822123
reservoir_dogs,the_departed,1.226003
reservoir_dogs,the_usual_suspects,0.846416
reservoir_dogs,fargo,0.711015
rogue_one,sw4,1.288833
rogue_one,sw7,1.186192
rogue_one,sw5,1.061759
se7en,the_departed,1.4414
se7en,the_usual_suspects,1.019345
se7en,sw4,0.738202
sw1,sw2,2.073936
sw1,sw5,1.283476
sw1,sw4,1.244848
sw2,sw1,2.073936
sw2,sw4,1.240018
sw2,sw5,1.192831
sw3,sw2,0.49178
sw3,sw1,0.459368
sw3,rogue_one,0.452102
sw4,sw5,1.64752
sw4,sw7,1.494221
sw4,rogue_one,1.288833
sw5,sw4,1.64752
sw5,sw1,1.283476
sw5,sw2,1.192831
sw6,sw4,1.035686
sw6,sw5,1.029042
sw6,sw1,0.991659
sw7,sw4,1.494221
sw7,rogue_one,1.186192
sw7,sw1,1.120542
the_departed,se7en,1.4414
the_departed,reservoir_dogs,1.226003
the_departed,fargo,0.930315
the_usual_suspects,se7en,1.019345
the_usual_suspects,reservoir_dogs,0.846416
the_usual_suspects,the_departed,0.598656
