Source,Target,Weight
fargo,reservoir_dogs,3.676687
fargo,the_departed,3.655973
fargo,se7en,3.424106
hobbit1,lotr3,4.92395
hobbit1,lotr2,4.922786
hobbit1,lotr1,4.918452
hobbit3,lotr2,4.92109
hobbit3,hobbit1,4.881692
hobbit3,lotr3,4.614845
lotr1,lotr3,5.353405
lotr1,lotr2,4.976461
lotr1,hobbit1,4.918452
lotr2,lotr3,7.028988
lotr2,sw1,4.991689
lotr2,lotr1,4.976461
lotr3,lotr2,7.028988
lotr3,lotr1,5.353405
lotr3,pirates3,4.972848
pirates1,pirates2,6.582152
pirates1,pirates3,6.567023
pirates1,pirates4,6.567023
pirates2,pirates1,6.582152
pirates2,pirates3,5.695961
pirates2,pirates4,5.695961
pirates3,pirates1,6.567023
pirates3,pirates2,5.695961
pirates4,pirates1,6.567023
pirates4,pirates2,5.695961
reservoir_dogs,the_usual_suspects,5.191299
reservoir_dogs,the_departed,4.632997
reservoir_dogs,se7en,4.592338
rogue_one,sw7,5.024823
rogue_one,sw1,4.827699
rogue_one,pirates1,4.736172
se7en,the_usual_suspects,5.185404
se7en,reservoir_dogs,4.592338
se7en,the_departed,4.54079
sw1,sw2,5.919016
sw1,sw3,5.201452
sw1,lotr2,4.991689
sw2,sw1,5.919016
sw2,sw3,5.15201
sw2,sw6,4.581797
sw3,sw1,5.201452
sw3,sw2,5.15201
sw3,sw5,4.228401
sw4,sw5,5.738058
sw4,sw6,4.724402
sw4,sw1,4.657705
sw5,sw4,5.738058
sw5,sw6,4.918573
sw5,sw7,4.801944
sw6,sw5,4.918573
sw6,sw4,4.724402
sw6,sw2,4.581797
sw7,rogue_one,5.024823
sw7,sw5,4.801944
sw7,sw4,4.634629
the_departed,the_usual_suspects,5.068321
the_departed,reservoir_dogs,4.632997
the_departed,se7en,4.54079
the_usual_suspects,reservoir_dogs,5.191299
the_usual_suspects,se7en,5.185404
the_usual_suspects,the_departed,5.068321
