Source,Target,Weight
fargo,the_departed,0.431964
fargo,reservoir_dogs,0.308777
fargo,sw7,0.27677
hobbit1,hobbit3,0.628953
hobbit1,rogue_one,0.462189
hobbit1,lotr2,0.326087
hobbit3,hobbit1,0.628953
hobbit3,rogue_one,0.414096
hobbit3,lotr2,0.163207
lotr1,lotr2,0.766772
lotr1,lotr3,0.690578
lotr1,pirates1,0.482011
lotr2,lotr3,1.089818
lotr2,lotr1,0.766772
lotr2,sw1,0.534201
lotr3,lotr2,1.089818
lotr3,lotr1,0.690578
lotr3,pirates1,0.57948
pirates1,pirates2,1.047894
pirates1,pirates3,0.913249
pirates1,pirates4,0.913249
pirates2,pirates1,1.047894
pirates2,pirates3,0.81912
pirates2,pirates4,0.81912
pirates3,pirates1,0.913249
pirates3,pirates2,0.81912
pirates4,pirates1,0.913249
pirates4,pirates2,0.81912
reservoir_dogs,the_departed,0.614367
reservoir_dogs,the_usual_suspects,0.345542
reservoir_dogs,fargo,0.308777
rogue_one,sw4,0.618722
rogue_one,sw5,0.576765
rogue_one,sw1,0.55238
se7en,the_departed,0.655691
se7en,the_usual_suspects,0.576291
se7en,lotr1,0.376487
sw1,sw2,1.021592
sw1,sw6,0.853233
sw1,sw5,0.850034
sw2,sw1,1.021592
sw2,sw6,0.860721
sw2,sw4,0.648414
sw3,sw6,0.488265
sw3,sw5,0.42796
sw3,sw4,0.366729
sw4,sw5,1.141618
sw4,sw1,0.816823
sw4,sw6,0.766758
sw5,sw4,1.141618
sw5,sw6,0.897422
sw5,sw1,0.850034
sw6,sw5,0.897422
sw6,sw2,0.860721
sw6,sw1,0.853233
sw7,sw4,0.687835
sw7,rogue_one,0.545557
sw7,sw6,0.541869
the_departed,se7en,0.655691
the_departed,reservoir_dogs,0.614367
the_departed,fargo,0.431964
the_usual_suspects,se7en,0.576291
the_usual_suspects,the_departed,0.385981
the_usual_suspects,reservoir_dogs,0.345542
