Source,Target,Weight
fargo,reservoir_dogs,10.896095
fargo,the_departed,10.380874
fargo,the_usual_suspects,8.799951
hobbit1,lotr2,14.233457
hobbit1,hobbit3,13.850224
hobbit1,lotr1,10.28394
hobbit3,hobbit1,13.850224
hobbit3,lotr2,12.901228
hobbit3,lotr3,9.242144
lotr1,lotr2,19.118997
lotr1,lotr3,13.04002
lotr1,hobbit1,10.28394
lotr2,lotr1,19.118997
lotr2,lotr3,16.758279
lotr2,hobbit1,14.233457
lotr3,lotr2,16.758279
lotr3,lotr1,13.04002
lotr3,sw2,10.227249
pirates1,pirates2,9.976754
pirates1,lotr2,9.906188
pirates1,lotr3,9.565167
pirates2,pirates3,11.920514
pirates2,pirates4,11.920514
pirates2,pirates1,9.976754
pirates3,pirates2,11.920514
pirates3,sw4,9.830715
pirates4,pirates2,11.920514
pirates4,sw4,9.830715
reservoir_dogs,the_departed,17.972682
reservoir_dogs,the_usual_suspects,16.917611
reservoir_dogs,fargo,10.896095
rogue_one,sw4,15.854645
rogue_one,sw5,11.953144
rogue_one,sw6,11.643748
se7en,the_departed,20.589265
se7en,the_usual_suspects,16.706763
se7en,sw4,11.752953
sw1,sw2,16.128512
sw1,sw4,13.220693
sw1,sw5,12.258808
sw2,sw1,16.128512
sw2,sw4,13.28939
sw2,sw5,12.896403
sw3,sw2,11.187434
sw3,sw1,9.422318
sw3,rogue_one,7.870979
sw4,sw5,15.857913
sw4,rogue_one,15.854645
sw4,sw6,14.161899
sw5,sw4,15.857913
sw5,sw6,13.614148
sw5,sw2,12.896403
sw6,sw4,14.161899
sw6,sw5,13.614148
sw6,rogue_one,11.643748
sw7,sw4,12.797707
sw7,rogue_one,11.495046
sw7,sw2,11.153992
the_departed,se7en,20.589265
the_departed,reservoir_dogs,17.972682
the_departed,the_usual_suspects,15.04076
the_usual_suspects,reservoir_dogs,16.917611
the_usual_suspects,se7en,16.706763
the_usual_suspects,the_departed,15.04076
