sub1,sub2,kld
99,89,0.6493806770700792
99,6,1.0243385331229422
99,36,0.7747292814909323
99,31,0.8746169057713563
89,6,2.0792806558284673
89,36,1.0397108974004825
89,31,1.1516838681301262
6,36,0.73529974874325
6,31,0.7638656717472966
36,31,0.859608094763017
