Source,Target,Weight
fargo,the_departed,8.074349
fargo,reservoir_dogs,7.331808
fargo,sw7,6.323591
hobbit1,hobbit3,16.806158
hobbit1,lotr2,13.655233
hobbit1,rogue_one,11.281716
hobbit3,hobbit1,16.806158
hobbit3,lotr2,9.890316
hobbit3,rogue_one,9.628624
lotr1,lotr2,17.870865
lotr1,lotr3,11.074442
lotr1,hobbit1,10.469779
lotr2,lotr1,17.870865
lotr2,lotr3,17.120063
lotr2,hobbit1,13.655233
lotr3,lotr2,17.120063
lotr3,lotr1,11.074442
lotr3,pirates3,10.356899
pirates1,pirates2,10.22359
pirates1,pirates3,10.124942
pirates1,pirates4,10.124942
pirates2,pirates3,12.711326
pirates2,pirates4,12.711326
pirates2,sw5,11.156107
pirates3,pirates2,12.711326
pirates3,lotr3,10.356899
pirates4,pirates2,12.711326
pirates4,lotr3,10.356899
reservoir_dogs,the_departed,16.675838
reservoir_dogs,the_usual_suspects,15.483951
reservoir_dogs,fargo,7.331808
rogue_one,sw4,18.887525
rogue_one,sw7,16.132155
rogue_one,sw5,15.625732
se7en,the_departed,19.231879
se7en,the_usual_suspects,17.04013
se7en,sw4,11.981357
sw1,sw2,22.225186
sw1,sw5,15.411645
sw1,sw4,15.216531
sw2,sw1,22.225186
sw2,sw4,16.256462
sw2,sw5,15.857159
sw3,sw2,8.55798
sw3,sw1,7.818853
sw3,rogue_one,6.914004
sw4,sw5,22.768152
sw4,rogue_one,18.887525
sw4,sw7,18.543931
sw5,sw4,22.768152
sw5,sw2,15.857159
sw5,rogue_one,15.625732
sw6,sw4,14.327469
sw6,sw5,14.12589
sw6,sw1,12.681504
sw7,sw4,18.543931
sw7,rogue_one,16.132155
sw7,sw5,13.891397
the_departed,se7en,19.231879
the_departed,reservoir_dogs,16.675838
the_departed,the_usual_suspects,11.17868
the_usual_suspects,se7en,17.04013
the_usual_suspects,reservoir_dogs,15.483951
the_usual_suspects,the_departed,11.17868
