Source,Target,Weight
fargo,the_departed,9.295581
fargo,reservoir_dogs,7.411635
fargo,sw7,6.037371
hobbit1,hobbit3,13.682698
hobbit1,lotr2,10.247162
hobbit1,rogue_one,9.128252
hobbit3,hobbit1,13.682698
hobbit3,rogue_one,8.70004
hobbit3,lotr2,6.380725
lotr1,lotr2,12.647182
lotr1,lotr3,8.405834
lotr1,hobbit1,8.332639
lotr2,lotr3,15.496188
lotr2,lotr1,12.647182
lotr2,sw2,10.312574
lotr3,lotr2,15.496188
lotr3,sw2,10.28976
lotr3,lotr1,8.405834
pirates1,lotr3,8.35757
pirates1,hobbit1,7.933423
pirates1,lotr2,7.65269
pirates2,sw5,9.643946
pirates2,pirates3,9.641621
pirates2,pirates4,9.641621
pirates3,pirates2,9.641621
pirates3,sw2,9.235572
pirates4,pirates2,9.641621
pirates4,sw2,9.235572
reservoir_dogs,the_departed,12.279129
reservoir_dogs,the_usual_suspects,9.717229
reservoir_dogs,fargo,7.411635
rogue_one,sw4,13.737585
rogue_one,sw7,12.786579
rogue_one,sw5,11.802892
se7en,the_departed,14.474503
se7en,the_usual_suspects,11.170064
se7en,sw4,8.290843
sw1,sw2,21.516482
sw1,sw5,13.664189
sw1,sw4,13.04019
sw2,sw1,21.516482
sw2,sw4,12.909556
sw2,sw5,12.86124
sw3,sw2,5.635994
sw3,sw1,5.339399
sw3,rogue_one,5.099959
sw4,sw5,17.789796
sw4,sw7,15.592354
sw4,rogue_one,13.737585
sw5,sw4,17.789796
sw5,sw1,13.664189
sw5,sw2,12.86124
sw6,sw5,11.418262
sw6,sw4,11.108766
sw6,sw1,10.818881
sw7,sw4,15.592354
sw7,rogue_one,12.786579
sw7,sw1,11.908022
the_departed,se7en,14.474503
the_departed,reservoir_dogs,12.279129
the_departed,fargo,9.295581
the_usual_suspects,se7en,11.170064
the_usual_suspects,reservoir_dogs,9.717229
the_usual_suspects,the_departed,6.957345
