Source,Target,Weight
fargo,reservoir_dogs,0.08555
fargo,the_departed,0.080853
fargo,the_usual_suspects,0.065757
hobbit1,lotr2,0.099919
hobbit1,hobbit3,0.090922
hobbit1,lotr1,0.063279
hobbit3,lotr2,0.091643
hobbit3,hobbit1,0.090922
hobbit3,rogue_one,0.064787
lotr1,lotr2,0.150916
lotr1,lotr3,0.089694
lotr1,sw2,0.069108
lotr2,lotr1,0.150916
lotr2,lotr3,0.104322
lotr2,hobbit1,0.099919
lotr3,lotr2,0.104322
lotr3,lotr1,0.089694
lotr3,sw2,0.07254
pirates1,lotr2,0.069102
pirates1,lotr3,0.068068
pirates1,pirates2,0.064106
pirates2,pirates3,0.077835
pirates2,pirates4,0.077835
pirates2,the_departed,0.068089
pirates3,pirates2,0.077835
pirates3,sw4,0.071815
pirates4,pirates2,0.077835
pirates4,sw4,0.071815
reservoir_dogs,the_departed,0.141886
reservoir_dogs,the_usual_suspects,0.119274
reservoir_dogs,fargo,0.08555
rogue_one,sw4,0.115816
rogue_one,sw5,0.082094
rogue_one,sw6,0.081372
se7en,the_departed,0.160365
se7en,the_usual_suspects,0.118266
se7en,sw4,0.083654
sw1,sw2,0.110907
sw1,sw4,0.095842
sw1,sw5,0.084767
sw2,sw1,0.110907
sw2,sw4,0.096198
sw2,sw5,0.088745
sw3,sw2,0.082462
sw3,sw1,0.06719
sw3,rogue_one,0.057033
sw4,rogue_one,0.115816
sw4,sw5,0.108067
sw4,sw6,0.099866
sw5,sw4,0.108067
sw5,sw6,0.094051
sw5,sw2,0.088745
sw6,sw4,0.099866
sw6,sw5,0.094051
sw6,rogue_one,0.081372
sw7,sw4,0.086227
sw7,rogue_one,0.077656
sw7,sw2,0.076068
the_departed,se7en,0.160365
the_departed,reservoir_dogs,0.141886
the_departed,the_usual_suspects,0.103384
the_usual_suspects,reservoir_dogs,0.119274
the_usual_suspects,se7en,0.118266
the_usual_suspects,the_departed,0.103384
