Source,Target,Weight
fargo,the_departed,1.55045
fargo,reservoir_dogs,1.195946
fargo,sw7,0.948496
hobbit1,hobbit3,2.080698
hobbit1,lotr2,1.559418
hobbit1,rogue_one,1.410734
hobbit3,hobbit1,2.080698
hobbit3,rogue_one,1.372179
hobbit3,lotr2,0.940249
lotr1,lotr2,2.034124
lotr1,lotr3,1.270038
lotr1,hobbit1,1.216012
lotr2,lotr3,2.260357
lotr2,lotr1,2.034124
lotr2,sw2,1.624183
lotr3,lotr2,2.260357
lotr3,sw2,1.627308
lotr3,pirates1,1.298668
pirates1,lotr3,1.298668
pirates1,hobbit1,1.189008
pirates1,lotr2,1.176789
pirates2,sw2,1.50124
pirates2,sw5,1.500371
pirates2,pirates3,1.416481
pirates3,sw2,1.463139
pirates3,pirates2,1.416481
pirates4,sw2,1.463139
pirates4,pirates2,1.416481
reservoir_dogs,the_departed,2.04402
reservoir_dogs,the_usual_suspects,1.452167
reservoir_dogs,fargo,1.195946
rogue_one,sw4,2.177952
rogue_one,sw7,2.009045
rogue_one,sw5,1.80983
se7en,the_departed,2.404771
se7en,the_usual_suspects,1.732505
se7en,sw4,1.26099
sw1,sw2,3.48443
sw1,sw5,2.168153
sw1,sw4,2.095852
sw2,sw1,3.48443
sw2,sw4,2.084923
sw2,sw5,2.02039
sw3,sw2,0.843456
sw3,sw1,0.790082
sw3,rogue_one,0.772953
sw4,sw5,2.791246
sw4,sw7,2.513201
sw4,rogue_one,2.177952
sw5,sw4,2.791246
sw5,sw1,2.168153
sw5,sw2,2.02039
sw6,sw5,1.75334
sw6,sw4,1.75217
sw6,sw1,1.683728
sw7,sw4,2.513201
sw7,rogue_one,2.009045
sw7,sw1,1.892162
the_departed,se7en,2.404771
the_departed,reservoir_dogs,2.04402
the_departed,fargo,1.55045
the_usual_suspects,se7en,1.732505
the_usual_suspects,reservoir_dogs,1.452167
the_usual_suspects,the_departed,1.029578
