Source,Target,Weight
fargo,the_departed,11.457116
fargo,reservoir_dogs,9.164475
fargo,sw7,8.009932
hobbit1,hobbit3,18.585288
hobbit1,rogue_one,12.825939
hobbit1,lotr2,12.168411
hobbit3,hobbit1,18.585288
hobbit3,rogue_one,11.255304
hobbit3,lotr2,6.85824
lotr1,lotr2,18.474727
lotr1,pirates1,13.751375
lotr1,sw2,13.544079
lotr2,lotr3,24.137681
lotr2,lotr1,18.474727
lotr2,pirates1,13.695441
lotr3,lotr2,24.137681
lotr3,pirates1,15.306201
lotr3,pirates3,13.760079
pirates1,pirates2,22.489093
pirates1,pirates3,20.461195
pirates1,pirates4,20.461195
pirates2,pirates1,22.489093
pirates2,pirates3,16.585123
pirates2,pirates4,16.585123
pirates3,pirates1,20.461195
pirates3,pirates2,16.585123
pirates4,pirates1,20.461195
pirates4,pirates2,16.585123
reservoir_dogs,the_departed,14.030362
reservoir_dogs,the_usual_suspects,11.81307
reservoir_dogs,fargo,9.164475
rogue_one,sw7,16.49675
rogue_one,sw4,16.359115
rogue_one,sw5,14.986437
se7en,the_departed,17.794228
se7en,the_usual_suspects,15.286313
se7en,sw4,9.701391
sw1,sw2,32.132644
sw1,sw5,20.300035
sw1,sw4,15.551374
sw2,sw1,32.132644
sw2,sw5,19.143152
sw2,sw4,16.840403
sw3,sw1,6.582498
sw3,sw2,6.370685
sw3,pirates1,6.266567
sw4,sw5,22.79514
sw4,sw7,19.612073
sw4,sw2,16.840403
sw5,sw4,22.79514
sw5,sw1,20.300035
sw5,sw2,19.143152
sw6,sw5,16.969286
sw6,sw2,16.367952
sw6,sw1,15.146466
sw7,sw4,19.612073
sw7,rogue_one,16.49675
sw7,sw5,15.820782
the_departed,se7en,17.794228
the_departed,reservoir_dogs,14.030362
the_departed,fargo,11.457116
the_usual_suspects,se7en,15.286313
the_usual_suspects,reservoir_dogs,11.81307
the_usual_suspects,the_departed,11.188811
