Source,Target,Weight
fargo,the_departed,2.332231
fargo,reservoir_dogs,1.935816
fargo,sw7,1.374382
hobbit1,hobbit3,2.558696
hobbit1,lotr2,1.894051
hobbit1,lotr1,1.408155
hobbit3,hobbit1,2.558696
hobbit3,rogue_one,1.225227
hobbit3,lotr2,1.138154
lotr1,lotr2,2.588333
lotr1,lotr3,1.74261
lotr1,hobbit1,1.408155
lotr2,lotr3,2.8651
lotr2,lotr1,2.588333
lotr2,hobbit1,1.894051
lotr3,lotr2,2.8651
lotr3,lotr1,1.74261
lotr3,pirates3,1.423129
pirates1,pirates2,2.586425
pirates1,pirates3,2.242173
pirates1,pirates4,2.242173
pirates2,pirates1,2.586425
pirates2,pirates3,2.116532
pirates2,pirates4,2.116532
pirates3,pirates1,2.242173
pirates3,pirates2,2.116532
pirates4,pirates1,2.242173
pirates4,pirates2,2.116532
reservoir_dogs,the_departed,2.969509
reservoir_dogs,the_usual_suspects,2.464535
reservoir_dogs,fargo,1.935816
rogue_one,sw4,3.101477
rogue_one,sw7,2.492429
rogue_one,sw5,2.474488
se7en,the_departed,3.821315
se7en,the_usual_suspects,3.319822
se7en,sw4,1.942759
sw1,sw2,3.906006
sw1,sw4,2.394206
sw1,sw5,2.262812
sw2,sw1,3.906006
sw2,sw4,2.28778
sw2,sw5,2.177032
sw3,sw2,1.248009
sw3,sw1,1.189818
sw3,sw5,1.186661
sw4,sw5,4.193153
sw4,rogue_one,3.101477
sw4,sw7,2.755284
sw5,sw4,4.193153
sw5,sw6,2.486832
sw5,rogue_one,2.474488
sw6,sw4,2.521776
sw6,sw5,2.486832
sw6,rogue_one,1.818446
sw7,sw4,2.755284
sw7,rogue_one,2.492429
sw7,sw5,2.128407
the_departed,se7en,3.821315
the_departed,reservoir_dogs,2.969509
the_departed,fargo,2.332231
the_usual_suspects,se7en,3.319822
the_usual_suspects,reservoir_dogs,2.464535
the_usual_suspects,the_departed,1.878513
