Source,Target,Weight
fargo,the_departed,21.524355
fargo,reservoir_dogs,16.41093
fargo,sw7,14.835254
hobbit1,hobbit3,34.840778
hobbit1,rogue_one,24.870054
hobbit1,lotr2,20.127609
hobbit3,hobbit1,34.840778
hobbit3,rogue_one,21.326964
hobbit3,lotr2,10.828136
lotr1,lotr2,38.064786
lotr1,lotr3,35.075412
lotr1,pirates1,24.301927
lotr2,lotr3,57.182068
lotr2,lotr1,38.064786
lotr2,sw1,30.232488
lotr3,lotr2,57.182068
lotr3,lotr1,35.075412
lotr3,pirates1,28.910925
pirates1,pirates2,52.795523
pirates1,pirates3,48.470748
pirates1,pirates4,48.470748
pirates2,pirates1,52.795523
pirates2,pirates3,42.322668
pirates2,pirates4,42.322668
pirates3,pirates1,48.470748
pirates3,pirates2,42.322668
pirates4,pirates1,48.470748
pirates4,pirates2,42.322668
reservoir_dogs,the_departed,31.342067
reservoir_dogs,the_usual_suspects,21.924055
reservoir_dogs,fargo,16.41093
rogue_one,sw4,34.041394
rogue_one,sw5,31.568646
rogue_one,sw7,31.425788
se7en,the_departed,33.185107
se7en,the_usual_suspects,32.628557
se7en,sw4,20.738713
sw1,sw2,51.075132
sw1,sw6,42.813718
sw1,sw5,42.564059
sw2,sw1,51.075132
sw2,sw6,43.213344
sw2,sw4,32.420165
sw3,sw6,24.484599
sw3,sw5,21.433471
sw3,sw4,18.346267
sw4,sw5,57.28033
sw4,sw1,40.816327
sw4,sw6,38.508934
sw5,sw4,57.28033
sw5,sw6,45.00045
sw5,sw1,42.564059
sw6,sw5,45.00045
sw6,sw2,43.213344
sw6,sw1,42.813718
sw7,sw4,35.646811
sw7,rogue_one,31.425788
sw7,sw6,28.770355
the_departed,se7en,33.185107
the_departed,reservoir_dogs,31.342067
the_departed,the_usual_suspects,22.226174
the_usual_suspects,se7en,32.628557
the_usual_suspects,the_departed,22.226174
the_usual_suspects,reservoir_dogs,21.924055
