Source,Target,Weight
fargo,the_departed,30.905214
fargo,reservoir_dogs,25.220681
fargo,sw7,20.982836
hobbit1,hobbit3,48.885413
hobbit1,lotr2,36.501679
hobbit1,rogue_one,32.160545
hobbit3,hobbit1,48.885413
hobbit3,rogue_one,30.147724
hobbit3,lotr2,23.302962
lotr1,lotr2,43.034815
lotr1,hobbit1,30.829942
lotr1,lotr3,30.096006
lotr2,lotr3,57.42506
lotr2,lotr1,43.034815
lotr2,hobbit1,36.501679
lotr3,lotr2,57.42506
lotr3,sw2,35.536603
lotr3,lotr1,30.096006
pirates1,lotr3,29.256875
pirates1,hobbit1,28.62295
pirates1,pirates2,27.196084
pirates2,pirates3,35.338186
pirates2,pirates4,35.338186
pirates2,sw5,33.718852
pirates3,pirates2,35.338186
pirates3,sw2,31.857279
pirates4,pirates2,35.338186
pirates4,sw2,31.857279
reservoir_dogs,the_departed,40.968495
reservoir_dogs,the_usual_suspects,35.138269
reservoir_dogs,fargo,25.220681
rogue_one,sw4,47.413589
rogue_one,sw7,44.489923
rogue_one,sw5,41.814761
se7en,the_departed,48.292848
se7en,the_usual_suspects,39.20185
se7en,sw4,29.542097
sw1,sw2,73.168947
sw1,sw5,47.196526
sw1,sw4,44.571225
sw2,sw1,73.168947
sw2,sw5,44.75875
sw2,sw4,43.985045
sw3,sw2,20.350434
sw3,sw1,19.454874
sw3,rogue_one,18.227221
sw4,sw5,62.015504
sw4,sw7,53.316272
sw4,rogue_one,47.413589
sw5,sw4,62.015504
sw5,sw1,47.196526
sw5,sw2,44.75875
sw6,sw5,40.431812
sw6,sw4,38.58918
sw6,sw1,37.933389
sw7,sw4,53.316272
sw7,rogue_one,44.489923
sw7,sw1,41.096453
the_departed,se7en,48.292848
the_departed,reservoir_dogs,40.968495
the_departed,fargo,30.905214
the_usual_suspects,se7en,39.20185
the_usual_suspects,reservoir_dogs,35.138269
the_usual_suspects,the_departed,25.36333
