Source,Target,Weight
fargo,reservoir_dogs,0.36274
fargo,the_departed,0.339525
fargo,the_usual_suspects,0.276699
hobbit1,lotr2,0.480341
hobbit1,hobbit3,0.47812
hobbit1,lotr1,0.319728
hobbit3,hobbit1,0.47812
hobbit3,lotr2,0.391332
hobbit3,lotr3,0.280852
lotr1,lotr2,0.647444
lotr1,lotr3,0.428806
lotr1,hobbit1,0.319728
lotr2,lotr1,0.647444
lotr2,lotr3,0.57626
lotr2,hobbit1,0.480341
lotr3,lotr2,0.57626
lotr3,lotr1,0.428806
lotr3,hobbit1,0.298271
pirates1,pirates2,0.463336
pirates1,pirates3,0.439667
pirates1,pirates4,0.439667
pirates2,pirates1,0.463336
pirates2,pirates3,0.437946
pirates2,pirates4,0.437946
pirates3,pirates1,0.439667
pirates3,pirates2,0.437946
pirates4,pirates1,0.439667
pirates4,pirates2,0.437946
reservoir_dogs,the_departed,0.658052
reservoir_dogs,the_usual_suspects,0.555662
reservoir_dogs,se7en,0.391213
rogue_one,sw4,0.532125
rogue_one,sw5,0.422469
rogue_one,sw6,0.380064
se7en,the_departed,0.912513
se7en,the_usual_suspects,0.646169
se7en,sw4,0.413486
sw1,sw2,0.62217
sw1,sw4,0.3772
sw1,rogue_one,0.349617
sw2,sw1,0.62217
sw2,sw4,0.396631
sw2,sw3,0.384595
sw3,sw2,0.384595
sw3,sw1,0.316974
sw3,rogue_one,0.23973
sw4,sw5,0.556456
sw4,rogue_one,0.532125
sw4,sw6,0.466876
sw5,sw4,0.556456
sw5,sw6,0.489928
sw5,rogue_one,0.422469
sw6,sw5,0.489928
sw6,sw4,0.466876
sw6,rogue_one,0.380064
sw7,sw4,0.409884
sw7,rogue_one,0.373088
sw7,sw5,0.368086
the_departed,se7en,0.912513
the_departed,reservoir_dogs,0.658052
the_departed,the_usual_suspects,0.484869
the_usual_suspects,se7en,0.646169
the_usual_suspects,reservoir_dogs,0.555662
the_usual_suspects,the_departed,0.484869
