Source,Target,Weight
fargo,the_departed,0.108618
fargo,reservoir_dogs,0.106839
fargo,sw7,0.07749
hobbit1,hobbit3,0.168127
hobbit1,lotr2,0.146158
hobbit1,lotr1,0.090146
hobbit3,hobbit1,0.168127
hobbit3,lotr2,0.094037
hobbit3,rogue_one,0.080738
lotr1,lotr2,0.213502
lotr1,lotr3,0.126304
lotr1,hobbit1,0.090146
lotr2,lotr1,0.213502
lotr2,lotr3,0.19237
lotr2,hobbit1,0.146158
lotr3,lotr2,0.19237
lotr3,lotr1,0.126304
lotr3,pirates3,0.094023
pirates1,pirates3,0.167719
pirates1,pirates4,0.167719
pirates1,pirates2,0.156916
pirates2,pirates1,0.156916
pirates2,pirates3,0.155897
pirates2,pirates4,0.155897
pirates3,pirates1,0.167719
pirates3,pirates2,0.155897
pirates4,pirates1,0.167719
pirates4,pirates2,0.155897
reservoir_dogs,the_departed,0.248159
reservoir_dogs,the_usual_suspects,0.180508
reservoir_dogs,fargo,0.106839
rogue_one,sw4,0.247137
rogue_one,sw7,0.170698
rogue_one,sw5,0.165625
se7en,the_departed,0.317838
se7en,the_usual_suspects,0.233301
se7en,sw4,0.150548
sw1,sw2,0.266536
sw1,sw4,0.144049
sw1,rogue_one,0.141953
sw2,sw1,0.266536
sw2,sw4,0.128617
sw2,rogue_one,0.127311
sw3,sw2,0.090938
sw3,sw1,0.084962
sw3,sw6,0.077586
sw4,rogue_one,0.247137
sw4,sw5,0.210842
sw4,sw7,0.162742
sw5,sw4,0.210842
sw5,sw6,0.193948
sw5,rogue_one,0.165625
sw6,sw5,0.193948
sw6,sw4,0.162546
sw6,rogue_one,0.134272
sw7,rogue_one,0.170698
sw7,sw4,0.162742
sw7,sw5,0.153087
the_departed,se7en,0.317838
the_departed,reservoir_dogs,0.248159
the_departed,the_usual_suspects,0.13895
the_usual_suspects,se7en,0.233301
the_usual_suspects,reservoir_dogs,0.180508
the_usual_suspects,the_departed,0.13895
