Source,Target,Weight
fargo,reservoir_dogs,5.51986
fargo,the_departed,5.442206
fargo,the_usual_suspects,5.281114
hobbit1,hobbit3,6.908511
hobbit1,lotr2,6.791264
hobbit1,lotr1,6.743498
hobbit3,hobbit1,6.908511
hobbit3,lotr2,6.903789
hobbit3,lotr3,6.34703
lotr1,lotr2,6.969807
lotr1,lotr3,6.867802
lotr1,hobbit1,6.743498
lotr2,lotr3,9.079189
lotr2,lotr1,6.969807
lotr2,hobbit3,6.903789
lotr3,lotr2,9.079189
lotr3,lotr1,6.867802
lotr3,hobbit1,6.489124
pirates1,pirates2,7.885813
pirates1,pirates3,7.744314
pirates1,pirates4,7.744314
pirates2,pirates1,7.885813
pirates2,pirates3,7.792289
pirates2,pirates4,7.792289
pirates3,pirates2,7.792289
pirates3,pirates1,7.744314
pirates4,pirates2,7.792289
pirates4,pirates1,7.744314
reservoir_dogs,the_usual_suspects,7.371913
reservoir_dogs,the_departed,7.157223
reservoir_dogs,se7en,6.430248
rogue_one,sw7,6.648627
rogue_one,sw5,6.282749
rogue_one,sw4,6.180508
se7en,the_usual_suspects,6.873277
se7en,the_departed,6.550762
se7en,reservoir_dogs,6.430248
sw1,sw2,8.225714
sw1,lotr2,6.468263
sw1,sw5,6.394353
sw2,sw1,8.225714
sw2,sw5,6.766953
sw2,pirates3,6.392472
sw3,sw2,5.404938
sw3,sw1,5.375477
sw3,sw6,4.827466
sw4,sw5,7.204767
sw4,rogue_one,6.180508
sw4,sw7,6.037371
sw5,sw4,7.204767
sw5,sw2,6.766953
sw5,sw6,6.629893
sw6,sw5,6.629893
sw6,sw2,6.053415
sw6,sw1,5.952275
sw7,rogue_one,6.648627
sw7,sw5,6.628926
sw7,sw1,6.330316
the_departed,the_usual_suspects,7.296234
the_departed,reservoir_dogs,7.157223
the_departed,se7en,6.550762
the_usual_suspects,reservoir_dogs,7.371913
the_usual_suspects,the_departed,7.296234
the_usual_suspects,se7en,6.873277
