Source,Target,Weight
fargo,the_departed,1.912156
fargo,reservoir_dogs,1.489035
fargo,sw7,1.267461
hobbit1,hobbit3,2.920783
hobbit1,rogue_one,2.067055
hobbit1,lotr2,1.849584
hobbit3,hobbit1,2.920783
hobbit3,rogue_one,1.834647
hobbit3,lotr2,1.004281
lotr1,lotr2,3.054218
lotr1,pirates1,2.27638
lotr1,sw2,2.216219
lotr2,lotr3,3.663822
lotr2,lotr1,3.054218
lotr2,pirates1,2.243903
lotr3,lotr2,3.663822
lotr3,pirates1,2.524717
lotr3,pirates3,2.202813
pirates1,pirates2,3.606619
pirates1,pirates3,3.193246
pirates1,pirates4,3.193246
pirates2,pirates1,3.606619
pirates2,pirates3,2.557394
pirates2,pirates4,2.557394
pirates3,pirates1,3.193246
pirates3,pirates2,2.557394
pirates4,pirates1,3.193246
pirates4,pirates2,2.557394
reservoir_dogs,the_departed,2.335046
reservoir_dogs,the_usual_suspects,1.772946
reservoir_dogs,fargo,1.489035
rogue_one,sw7,2.615104
rogue_one,sw4,2.596553
rogue_one,sw5,2.32837
se7en,the_departed,2.953599
se7en,the_usual_suspects,2.425695
se7en,sw4,1.472123
sw1,sw2,5.330718
sw1,sw5,3.361299
sw1,sw4,2.518949
sw2,sw1,5.330718
sw2,sw5,3.163856
sw2,sw4,2.763675
sw3,sw1,0.971026
sw3,pirates1,0.969915
sw3,sw2,0.946863
sw4,sw5,3.647093
sw4,sw7,3.226629
sw4,sw2,2.763675
sw5,sw4,3.647093
sw5,sw1,3.361299
sw5,sw2,3.163856
sw6,sw5,2.657426
sw6,sw2,2.584955
sw6,sw4,2.428546
sw7,sw4,3.226629
sw7,rogue_one,2.615104
sw7,sw5,2.494182
the_departed,se7en,2.953599
the_departed,reservoir_dogs,2.335046
the_departed,fargo,1.912156
the_usual_suspects,se7en,2.425695
the_usual_suspects,reservoir_dogs,1.772946
the_usual_suspects,the_departed,1.716117
