Source,Target,Weight
fargo,reservoir_dogs,4.965588
fargo,the_departed,4.883599
fargo,se7en,4.663353
hobbit1,hobbit3,6.248321
hobbit1,lotr2,5.924171
hobbit1,lotr1,5.762493
hobbit3,hobbit1,6.248321
hobbit3,lotr2,6.062921
hobbit3,lotr3,5.553797
lotr1,lotr3,6.084539
lotr1,lotr2,5.93722
lotr1,hobbit1,5.762493
lotr2,lotr3,8.369882
lotr2,hobbit3,6.062921
lotr2,lotr1,5.93722
lotr3,lotr2,8.369882
lotr3,lotr1,6.084539
lotr3,hobbit1,5.660206
pirates1,pirates2,7.773994
pirates1,pirates3,7.499906
pirates1,pirates4,7.499906
pirates2,pirates1,7.773994
pirates2,pirates3,6.949222
pirates2,pirates4,6.949222
pirates3,pirates1,7.499906
pirates3,pirates2,6.949222
pirates4,pirates1,7.499906
pirates4,pirates2,6.949222
reservoir_dogs,the_usual_suspects,6.563618
reservoir_dogs,the_departed,6.213225
reservoir_dogs,se7en,6.152786
rogue_one,sw7,5.983581
rogue_one,sw1,5.616873
rogue_one,sw4,5.585718
se7en,the_usual_suspects,6.454361
se7en,reservoir_dogs,6.152786
se7en,the_departed,6.123211
sw1,sw2,7.138064
sw1,sw3,5.618419
sw1,rogue_one,5.616873
sw2,sw1,7.138064
sw2,sw3,5.834748
sw2,sw5,5.341909
sw3,sw2,5.834748
sw3,sw1,5.618419
sw3,sw5,4.643129
sw4,sw5,6.633675
sw4,rogue_one,5.585718
sw4,sw7,5.522543
sw5,sw4,6.633675
sw5,sw7,5.634184
sw5,sw6,5.490282
sw6,sw5,5.490282
sw6,sw4,5.048108
sw6,sw2,4.680596
sw7,rogue_one,5.983581
sw7,sw5,5.634184
sw7,sw4,5.522543
the_departed,the_usual_suspects,6.484748
the_departed,reservoir_dogs,6.213225
the_departed,se7en,6.123211
the_usual_suspects,reservoir_dogs,6.563618
the_usual_suspects,the_departed,6.484748
the_usual_suspects,se7en,6.454361
