Source,Target,Weight
fargo,the_departed,1.332195
fargo,reservoir_dogs,1.10386
fargo,sw7,1.039031
hobbit1,hobbit3,2.215846
hobbit1,rogue_one,1.607353
hobbit1,lotr2,1.118133
hobbit3,hobbit1,2.215846
hobbit3,rogue_one,1.235271
hobbit3,lotr3,0.573673
lotr1,lotr2,2.163163
lotr1,lotr3,2.043339
lotr1,pirates1,1.854221
lotr2,lotr3,3.829158
lotr2,sw1,2.241248
lotr2,lotr1,2.163163
lotr3,lotr2,3.829158
lotr3,lotr1,2.043339
lotr3,pirates1,1.931173
pirates1,pirates2,3.247365
pirates1,pirates3,3.067814
pirates1,pirates4,3.067814
pirates2,pirates1,3.247365
pirates2,pirates3,2.94497
pirates2,pirates4,2.94497
pirates3,pirates1,3.067814
pirates3,pirates2,2.94497
pirates4,pirates1,3.067814
pirates4,pirates2,2.94497
reservoir_dogs,the_usual_suspects,2.698444
reservoir_dogs,the_departed,2.35
reservoir_dogs,fargo,1.10386
rogue_one,sw7,1.975785
rogue_one,sw4,1.92956
rogue_one,sw5,1.926979
se7en,the_departed,2.000568
se7en,the_usual_suspects,1.710817
se7en,lotr1,1.16319
sw1,sw2,3.727741
sw1,sw5,2.345408
sw1,lotr2,2.241248
sw2,sw1,3.727741
sw2,sw6,2.413541
sw2,sw5,2.183363
sw3,pirates1,0.678088
sw3,sw1,0.611498
sw3,lotr3,0.589493
sw4,sw5,3.483896
sw4,sw7,2.244306
sw4,sw2,1.983674
sw5,sw4,3.483896
sw5,sw6,2.56634
sw5,sw7,2.422616
sw6,sw5,2.56634
sw6,sw2,2.413541
sw6,sw1,2.129794
sw7,sw5,2.422616
sw7,sw4,2.244306
sw7,rogue_one,1.975785
the_departed,reservoir_dogs,2.35
the_departed,se7en,2.000568
the_departed,the_usual_suspects,1.418281
the_usual_suspects,reservoir_dogs,2.698444
the_usual_suspects,se7en,1.710817
the_usual_suspects,the_departed,1.418281
