Source,Target,Weight
fargo,reservoir_dogs,32.101698
fargo,the_departed,30.776807
fargo,the_usual_suspects,24.284812
hobbit1,hobbit3,47.594117
hobbit1,lotr2,39.527254
hobbit1,lotr1,31.351894
hobbit3,hobbit1,47.594117
hobbit3,lotr2,30.935808
hobbit3,rogue_one,25.135733
lotr1,lotr2,50.684237
lotr1,lotr3,37.083735
lotr1,hobbit1,31.351894
lotr2,lotr3,62.496094
lotr2,lotr1,50.684237
lotr2,hobbit1,39.527254
lotr3,lotr2,62.496094
lotr3,lotr1,37.083735
lotr3,hobbit1,28.179333
pirates1,pirates3,48.262548
pirates1,pirates4,48.262548
pirates1,pirates2,47.878962
pirates2,pirates1,47.878962
pirates2,pirates3,44.748736
pirates2,pirates4,44.748736
pirates3,pirates1,48.262548
pirates3,pirates2,44.748736
pirates4,pirates1,48.262548
pirates4,pirates2,44.748736
reservoir_dogs,the_departed,53.358946
reservoir_dogs,the_usual_suspects,49.795837
reservoir_dogs,se7en,33.823778
rogue_one,sw4,49.326691
rogue_one,sw5,37.256436
rogue_one,sw7,36.923531
se7en,the_departed,75.769056
se7en,the_usual_suspects,60.157613
se7en,sw4,39.157334
sw1,sw2,58.275058
sw1,sw4,33.988172
sw1,sw5,32.783661
sw2,sw1,58.275058
sw2,sw4,35.508842
sw2,sw5,35.303255
sw3,sw2,33.839802
sw3,sw1,28.812631
sw3,sw6,21.816912
sw4,sw5,55.710306
sw4,rogue_one,49.326691
sw4,sw6,43.314419
sw5,sw4,55.710306
sw5,sw6,46.696241
sw5,sw7,37.967955
sw6,sw5,46.696241
sw6,sw4,43.314419
sw6,rogue_one,32.32689
sw7,sw4,41.027324
sw7,sw5,37.967955
sw7,rogue_one,36.923531
the_departed,se7en,75.769056
the_departed,reservoir_dogs,53.358946
the_departed,the_usual_suspects,42.50797
the_usual_suspects,se7en,60.157613
the_usual_suspects,reservoir_dogs,49.795837
the_usual_suspects,the_departed,42.50797
