Source,Target,Weight
fargo,the_departed,0.326053
fargo,reservoir_dogs,0.323942
fargo,the_usual_suspects,0.252513
hobbit1,hobbit3,0.40361
hobbit1,lotr2,0.395647
hobbit1,sw2,0.274687
hobbit3,hobbit1,0.40361
hobbit3,lotr2,0.330486
hobbit3,rogue_one,0.267341
lotr1,lotr2,0.616407
lotr1,lotr3,0.373899
lotr1,sw2,0.295247
lotr2,lotr1,0.616407
lotr2,lotr3,0.463964
lotr2,hobbit1,0.395647
lotr3,lotr2,0.463964
lotr3,lotr1,0.373899
lotr3,sw2,0.311848
pirates1,lotr2,0.290039
pirates1,lotr3,0.289904
pirates1,pirates2,0.269852
pirates2,pirates3,0.332163
pirates2,pirates4,0.332163
pirates2,the_departed,0.319348
pirates3,pirates2,0.332163
pirates3,sw4,0.327056
pirates4,pirates2,0.332163
pirates4,sw4,0.327056
reservoir_dogs,the_departed,0.6333
reservoir_dogs,the_usual_suspects,0.501262
reservoir_dogs,fargo,0.323942
rogue_one,sw4,0.573837
rogue_one,sw5,0.360081
rogue_one,sw7,0.358381
se7en,the_departed,0.769701
se7en,the_usual_suspects,0.570965
se7en,sw4,0.366179
sw1,sw2,0.529923
sw1,sw4,0.47841
sw1,sw5,0.405204
sw2,sw1,0.529923
sw2,sw4,0.422647
sw2,sw5,0.381047
sw3,sw2,0.330425
sw3,sw1,0.282373
sw3,rogue_one,0.233227
sw4,rogue_one,0.573837
sw4,sw5,0.496609
sw4,sw1,0.47841
sw5,sw4,0.496609
sw5,sw6,0.421868
sw5,sw1,0.405204
sw6,sw5,0.421868
sw6,sw4,0.418666
sw6,rogue_one,0.338488
sw7,sw4,0.392231
sw7,rogue_one,0.358381
sw7,sw2,0.328868
the_departed,se7en,0.769701
the_departed,reservoir_dogs,0.6333
the_departed,the_usual_suspects,0.406847
the_usual_suspects,se7en,0.570965
the_usual_suspects,reservoir_dogs,0.501262
the_usual_suspects,the_departed,0.406847
