Source,Target,Weight
fargo,reservoir_dogs,5.234122
fargo,the_departed,4.97889
fargo,the_usual_suspects,4.187236
hobbit1,lotr2,6.688918
hobbit1,hobbit3,6.417002
hobbit1,lotr1,4.696644
hobbit3,hobbit1,6.417002
hobbit3,lotr2,6.078916
hobbit3,rogue_one,4.331949
lotr1,lotr2,9.198447
lotr1,lotr3,6.103627
lotr1,hobbit1,4.696644
lotr2,lotr1,9.198447
lotr2,lotr3,7.672418
lotr2,hobbit1,6.688918
lotr3,lotr2,7.672418
lotr3,lotr1,6.103627
lotr3,sw2,4.817281
pirates1,lotr2,4.648698
pirates1,pirates2,4.600938
pirates1,lotr3,4.508322
pirates2,pirates3,5.518581
pirates2,pirates4,5.518581
pirates2,pirates1,4.600938
pirates3,pirates2,5.518581
pirates3,sw4,4.657727
pirates4,pirates2,5.518581
pirates4,sw4,4.657727
reservoir_dogs,the_departed,8.638861
reservoir_dogs,the_usual_suspects,7.955639
reservoir_dogs,fargo,5.234122
rogue_one,sw4,7.51027
rogue_one,sw5,5.591934
rogue_one,sw6,5.465795
se7en,the_departed,9.875568
se7en,the_usual_suspects,7.864789
se7en,sw4,5.53854
sw1,sw2,7.547967
sw1,sw4,6.253087
sw1,sw5,5.742704
sw2,sw1,7.547967
sw2,sw4,6.283538
sw2,sw5,6.035222
sw3,sw2,5.308053
sw3,sw1,4.441898
sw3,rogue_one,3.722232
sw4,rogue_one,7.51027
sw4,sw5,7.405762
sw4,sw6,6.658588
sw5,sw4,7.405762
sw5,sw6,6.376006
sw5,sw2,6.035222
sw6,sw4,6.658588
sw6,sw5,6.376006
sw6,rogue_one,5.465795
sw7,sw4,5.962496
sw7,rogue_one,5.359258
sw7,sw2,5.210097
the_departed,se7en,9.875568
the_departed,reservoir_dogs,8.638861
the_departed,the_usual_suspects,7.036406
the_usual_suspects,reservoir_dogs,7.955639
the_usual_suspects,se7en,7.864789
the_usual_suspects,the_departed,7.036406
