Source,Target,Weight
fargo,the_departed,34.207916
fargo,reservoir_dogs,31.322433
fargo,sw7,27.469509
hobbit1,hobbit3,75.25587
hobbit1,lotr2,59.705057
hobbit1,rogue_one,49.583499
hobbit3,hobbit1,75.25587
hobbit3,lotr2,44.012147
hobbit3,rogue_one,41.888326
lotr1,lotr2,73.399883
lotr1,lotr3,49.185972
lotr1,hobbit1,49.142464
lotr2,lotr3,80.469944
lotr2,lotr1,73.399883
lotr2,hobbit1,59.705057
lotr3,lotr2,80.469944
lotr3,lotr1,49.185972
lotr3,pirates3,45.974898
pirates1,pirates2,47.492401
pirates1,pirates3,46.761749
pirates1,pirates4,46.761749
pirates2,pirates3,57.91394
pirates2,pirates4,57.91394
pirates2,sw5,48.53191
pirates3,pirates2,57.91394
pirates3,pirates1,46.761749
pirates4,pirates2,57.91394
pirates4,pirates1,46.761749
reservoir_dogs,the_departed,68.343357
reservoir_dogs,the_usual_suspects,67.971724
reservoir_dogs,se7en,32.596649
rogue_one,sw4,79.396586
rogue_one,sw7,69.97411
rogue_one,sw5,67.985587
se7en,the_departed,78.802206
se7en,the_usual_suspects,72.817301
se7en,sw4,52.45764
sw1,sw2,95.996928
sw1,sw5,66.880685
sw1,sw4,65.227317
sw2,sw1,95.996928
sw2,sw4,68.714354
sw2,sw5,68.686036
sw3,sw2,37.574209
sw3,sw1,34.880882
sw3,rogue_one,30.269092
sw4,sw5,98.87285
sw4,sw7,79.674926
sw4,rogue_one,79.396586
sw5,sw4,98.87285
sw5,sw2,68.686036
sw5,rogue_one,67.985587
sw6,sw5,62.258747
sw6,sw4,61.888848
sw6,sw1,55.763118
sw7,sw4,79.674926
sw7,rogue_one,69.97411
sw7,sw5,61.188276
the_departed,se7en,78.802206
the_departed,reservoir_dogs,68.343357
the_departed,the_usual_suspects,49.960032
the_usual_suspects,se7en,72.817301
the_usual_suspects,reservoir_dogs,67.971724
the_usual_suspects,the_departed,49.960032
