Source,Target,Weight
fargo,the_departed,2.220012
fargo,reservoir_dogs,1.844505
fargo,sw7,1.747818
hobbit1,hobbit3,3.732875
hobbit1,rogue_one,2.693799
hobbit1,lotr2,1.913575
hobbit3,hobbit1,3.732875
hobbit3,rogue_one,2.070021
hobbit3,lotr3,0.992153
lotr1,lotr2,3.618298
lotr1,lotr3,3.417997
lotr1,pirates1,3.089901
lotr2,lotr3,6.409024
lotr2,sw1,3.735762
lotr2,lotr1,3.618298
lotr3,lotr2,6.409024
lotr3,lotr1,3.417997
lotr3,pirates1,3.218311
pirates1,pirates2,5.414214
pirates1,pirates3,5.149118
pirates1,pirates4,5.149118
pirates2,pirates1,5.414214
pirates2,pirates3,4.930553
pirates2,pirates4,4.930553
pirates3,pirates1,5.149118
pirates3,pirates2,4.930553
pirates4,pirates1,5.149118
pirates4,pirates2,4.930553
reservoir_dogs,the_usual_suspects,4.524089
reservoir_dogs,the_departed,3.916592
reservoir_dogs,fargo,1.844505
rogue_one,sw7,3.331401
rogue_one,sw4,3.252297
rogue_one,sw5,3.248114
se7en,the_departed,3.336792
se7en,the_usual_suspects,2.884113
se7en,lotr1,1.938473
sw1,sw2,6.212839
sw1,sw5,3.909258
sw1,lotr2,3.735762
sw2,sw1,6.212839
sw2,sw6,4.02319
sw2,sw5,3.639222
sw3,pirates1,1.15071
sw3,sw1,1.051702
sw3,lotr3,1.005591
sw4,sw5,5.807302
sw4,sw7,3.740975
sw4,sw2,3.306124
sw5,sw4,5.807302
sw5,sw6,4.277691
sw5,sw7,4.037924
sw6,sw5,4.277691
sw6,sw2,4.02319
sw6,sw1,3.550103
sw7,sw5,4.037924
sw7,sw4,3.740975
sw7,rogue_one,3.331401
the_departed,reservoir_dogs,3.916592
the_departed,se7en,3.336792
the_departed,the_usual_suspects,2.396088
the_usual_suspects,reservoir_dogs,4.524089
the_usual_suspects,se7en,2.884113
the_usual_suspects,the_departed,2.396088
