Source,Target,Weight
fargo,the_departed,0.689613
fargo,reservoir_dogs,0.563966
fargo,sw7,0.396408
hobbit1,hobbit3,0.712053
hobbit1,lotr2,0.527654
hobbit1,lotr1,0.382207
hobbit3,hobbit1,0.712053
hobbit3,rogue_one,0.340689
hobbit3,lotr2,0.313714
lotr1,lotr2,0.742151
lotr1,lotr3,0.48416
lotr1,hobbit1,0.382207
lotr2,lotr3,0.778945
lotr2,lotr1,0.742151
lotr2,hobbit1,0.527654
lotr3,lotr2,0.778945
lotr3,lotr1,0.48416
lotr3,pirates3,0.393708
pirates1,pirates2,0.707966
pirates1,pirates3,0.612917
pirates1,pirates4,0.612917
pirates2,pirates1,0.707966
pirates2,pirates3,0.58235
pirates2,pirates4,0.58235
pirates3,pirates1,0.612917
pirates3,pirates2,0.58235
pirates4,pirates1,0.612917
pirates4,pirates2,0.58235
reservoir_dogs,the_departed,0.874757
reservoir_dogs,the_usual_suspects,0.689536
reservoir_dogs,fargo,0.563966
rogue_one,sw4,0.894472
rogue_one,sw7,0.705194
rogue_one,sw5,0.703325
se7en,the_departed,1.126474
se7en,the_usual_suspects,0.948471
se7en,sw4,0.545904
sw1,sw2,1.117001
sw1,sw4,0.675747
sw1,sw5,0.637915
sw2,sw1,1.117001
sw2,sw4,0.650463
sw2,sw5,0.618131
sw3,sw2,0.336188
sw3,sw5,0.333473
sw3,sw6,0.323939
sw4,sw5,1.191245
sw4,rogue_one,0.894472
sw4,sw7,0.780449
sw5,sw4,1.191245
sw5,rogue_one,0.703325
sw5,sw6,0.696724
sw6,sw4,0.712011
sw6,sw5,0.696724
sw6,rogue_one,0.510992
sw7,sw4,0.780449
sw7,rogue_one,0.705194
sw7,sw5,0.597969
the_departed,se7en,1.126474
the_departed,reservoir_dogs,0.874757
the_departed,fargo,0.689613
the_usual_suspects,se7en,0.948471
the_usual_suspects,reservoir_dogs,0.689536
the_usual_suspects,the_departed,0.52157
