Source,Target,Weight
fargo,the_departed,58.105752
fargo,reservoir_dogs,51.054271
fargo,the_usual_suspects,36.897646
hobbit1,hobbit3,83.430669
hobbit1,lotr2,63.099445
hobbit1,lotr1,48.6618
hobbit3,hobbit1,83.430669
hobbit3,rogue_one,40.801338
hobbit3,lotr2,34.405643
lotr1,lotr2,79.751176
lotr1,lotr3,58.315839
lotr1,hobbit1,48.6618
lotr2,lotr3,107.284626
lotr2,lotr1,79.751176
lotr2,hobbit1,63.099445
lotr3,lotr2,107.284626
lotr3,lotr1,58.315839
lotr3,sw2,51.599587
pirates1,pirates2,97.352025
pirates1,pirates3,86.542622
pirates1,pirates4,86.542622
pirates2,pirates1,97.352025
pirates2,pirates3,77.663871
pirates2,pirates4,77.663871
pirates3,pirates1,86.542622
pirates3,pirates2,77.663871
pirates4,pirates1,86.542622
pirates4,pirates2,77.663871
reservoir_dogs,the_departed,74.217011
reservoir_dogs,the_usual_suspects,69.161076
reservoir_dogs,fargo,51.054271
rogue_one,sw7,85.070183
rogue_one,sw4,84.502282
rogue_one,sw5,73.6106
se7en,the_departed,93.240093
se7en,the_usual_suspects,81.142486
se7en,sw4,54.404004
sw1,sw2,127.000254
sw1,sw5,88.904694
sw1,sw4,79.101408
sw2,sw1,127.000254
sw2,sw5,74.582339
sw2,sw6,66.067653
sw3,sw6,49.803277
sw3,sw5,49.154542
sw3,sw2,39.085402
sw4,sw5,127.388535
sw4,sw7,91.911765
sw4,rogue_one,84.502282
sw5,sw4,127.388535
sw5,sw1,88.904694
sw5,sw6,81.612666
sw6,sw4,82.610492
sw6,sw5,81.612666
sw6,sw1,73.030015
sw7,sw4,91.911765
sw7,rogue_one,85.070183
sw7,sw5,72.563675
the_departed,se7en,93.240093
the_departed,reservoir_dogs,74.217011
the_departed,fargo,58.105752
the_usual_suspects,se7en,81.142486
the_usual_suspects,reservoir_dogs,69.161076
the_usual_suspects,the_departed,49.761146
