Source,Target,Weight
fargo,reservoir_dogs,7.001624
fargo,the_departed,6.99888
fargo,sw7,5.528069
hobbit1,hobbit3,13.021342
hobbit1,lotr2,11.335812
hobbit1,sw5,8.263985
hobbit3,hobbit1,13.021342
hobbit3,lotr2,8.360016
hobbit3,rogue_one,7.931409
lotr1,lotr2,15.483232
lotr1,lotr3,9.840679
lotr1,hobbit1,8.031032
lotr2,lotr1,15.483232
lotr2,lotr3,13.394053
lotr2,hobbit1,11.335812
lotr3,lotr2,13.394053
lotr3,lotr1,9.840679
lotr3,pirates3,8.632075
pirates1,pirates2,8.588925
pirates1,pirates3,8.339449
pirates1,pirates4,8.339449
pirates2,pirates3,10.470108
pirates2,pirates4,10.470108
pirates2,sw2,9.298347
pirates3,pirates2,10.470108
pirates3,sw2,8.745999
pirates4,pirates2,10.470108
pirates4,sw2,8.745999
reservoir_dogs,the_departed,14.590446
reservoir_dogs,the_usual_suspects,12.854958
reservoir_dogs,fargo,7.001624
rogue_one,sw4,14.783714
rogue_one,sw7,11.66902
rogue_one,sw5,10.458938
se7en,the_departed,17.597269
se7en,the_usual_suspects,14.337329
se7en,sw4,9.871961
sw1,sw2,17.858737
sw1,sw4,11.937163
sw1,sw5,11.453704
sw2,sw1,17.858737
sw2,sw4,10.986717
sw2,sw5,10.310873
sw3,sw2,7.632073
sw3,sw1,6.801009
sw3,rogue_one,5.976215
sw4,sw5,16.17521
sw4,rogue_one,14.783714
sw4,sw7,12.997141
sw5,sw4,16.17521
sw5,sw6,12.838289
sw5,sw1,11.453704
sw6,sw5,12.838289
sw6,sw4,11.940299
sw6,sw1,9.440464
sw7,sw4,12.997141
sw7,rogue_one,11.66902
sw7,sw5,10.703315
the_departed,se7en,17.597269
the_departed,reservoir_dogs,14.590446
the_departed,the_usual_suspects,9.85212
the_usual_suspects,se7en,14.337329
the_usual_suspects,reservoir_dogs,12.854958
the_usual_suspects,the_departed,9.85212
