Source,Target,Weight
fargo,the_departed,85.120872
fargo,reservoir_dogs,66.648894
fargo,se7en,60.830951
hobbit1,hobbit3,146.348602
hobbit1,rogue_one,102.701037
hobbit1,lotr2,87.873462
hobbit3,hobbit1,146.348602
hobbit3,rogue_one,86.184607
hobbit3,lotr2,48.880633
lotr1,lotr2,148.875986
lotr1,lotr3,140.805407
lotr1,sw2,96.871065
lotr2,lotr3,239.463602
lotr2,lotr1,148.875986
lotr2,sw1,127.485977
lotr3,lotr2,239.463602
lotr3,lotr1,140.805407
lotr3,pirates1,114.836932
pirates1,pirates2,216.262976
pirates1,pirates3,201.73492
pirates1,pirates4,201.73492
pirates2,pirates1,216.262976
pirates2,pirates3,171.58545
pirates2,pirates4,171.58545
pirates3,pirates1,201.73492
pirates3,pirates2,171.58545
pirates4,pirates1,201.73492
pirates4,pirates2,171.58545
reservoir_dogs,the_departed,126.119309
reservoir_dogs,the_usual_suspects,97.18173
reservoir_dogs,fargo,66.648894
rogue_one,sw4,140.944327
rogue_one,sw7,133.422282
rogue_one,sw5,131.044424
se7en,the_usual_suspects,136.948781
se7en,the_departed,132.608407
se7en,sw4,91.058095
sw1,sw2,204.206657
sw1,sw6,173.130194
sw1,sw5,171.027878
sw2,sw1,204.206657
sw2,sw6,175.039384
sw2,sw4,129.66805
sw3,sw6,98.697197
sw3,sw5,86.080744
sw3,sw4,73.437615
sw4,sw5,231.588698
sw4,sw1,162.946065
sw4,sw6,156.176792
sw5,sw4,231.588698
sw5,sw6,181.620051
sw5,sw1,171.027878
sw6,sw5,181.620051
sw6,sw2,175.039384
sw6,sw1,173.130194
sw7,sw4,145.666424
sw7,rogue_one,133.422282
sw7,sw6,117.619384
the_departed,se7en,132.608407
the_departed,reservoir_dogs,126.119309
the_departed,the_usual_suspects,94.393053
the_usual_suspects,se7en,136.948781
the_usual_suspects,reservoir_dogs,97.18173
the_usual_suspects,the_departed,94.393053
