Source,Target,Weight
fargo,reservoir_dogs,12.260161
fargo,the_departed,11.718658
fargo,the_usual_suspects,9.127752
hobbit1,hobbit3,17.18656
hobbit1,lotr2,14.550322
hobbit1,lotr1,11.05461
hobbit3,hobbit1,17.18656
hobbit3,lotr2,11.374235
hobbit3,rogue_one,9.204374
lotr1,lotr2,19.324792
lotr1,lotr3,13.56484
lotr1,hobbit1,11.05461
lotr2,lotr3,21.956789
lotr2,lotr1,19.324792
lotr2,hobbit1,14.550322
lotr3,lotr2,21.956789
lotr3,lotr1,13.56484
lotr3,hobbit1,9.955301
pirates1,pirates3,17.262809
pirates1,pirates4,17.262809
pirates1,pirates2,17.041291
pirates2,pirates1,17.041291
pirates2,pirates3,16.132155
pirates2,pirates4,16.132155
pirates3,pirates1,17.262809
pirates3,pirates2,16.132155
pirates4,pirates1,17.262809
pirates4,pirates2,16.132155
reservoir_dogs,the_departed,20.51745
reservoir_dogs,the_usual_suspects,18.426387
reservoir_dogs,se7en,12.413571
rogue_one,sw4,18.545306
rogue_one,sw5,13.727967
rogue_one,sw7,13.477816
se7en,the_departed,29.464628
se7en,the_usual_suspects,22.540799
se7en,sw4,14.594279
sw1,sw2,21.544759
sw1,sw4,12.542488
sw1,sw5,12.007973
sw2,sw1,21.544759
sw2,sw4,13.159799
sw2,sw5,13.004747
sw3,sw2,12.175967
sw3,sw1,10.389071
sw3,sw6,7.993797
sw4,sw5,20.400253
sw4,rogue_one,18.545306
sw4,sw6,16.045956
sw5,sw4,20.400253
sw5,sw6,17.315418
sw5,sw7,13.839681
sw6,sw5,17.315418
sw6,sw4,16.045956
sw6,rogue_one,11.95972
sw7,sw4,14.966699
sw7,sw5,13.839681
sw7,rogue_one,13.477816
the_departed,se7en,29.464628
the_departed,reservoir_dogs,20.51745
the_departed,the_usual_suspects,15.584092
the_usual_suspects,se7en,22.540799
the_usual_suspects,reservoir_dogs,18.426387
the_usual_suspects,the_departed,15.584092
