Source,Target,Weight
fargo,the_departed,0.382508
fargo,reservoir_dogs,0.291007
fargo,sw7,0.242457
hobbit1,hobbit3,0.556279
hobbit1,rogue_one,0.401717
hobbit1,lotr2,0.342844
hobbit3,hobbit1,0.556279
hobbit3,rogue_one,0.359808
hobbit3,lotr2,0.181063
lotr1,lotr2,0.605192
lotr1,pirates1,0.452077
lotr1,sw2,0.435626
lotr2,lotr3,0.679855
lotr2,lotr1,0.605192
lotr2,pirates1,0.442322
lotr3,lotr2,0.679855
lotr3,pirates1,0.500003
lotr3,pirates3,0.425664
pirates1,pirates2,0.699213
pirates1,pirates3,0.605084
pirates1,pirates4,0.605084
pirates2,pirates1,0.699213
pirates2,pirates3,0.479311
pirates2,pirates4,0.479311
pirates3,pirates1,0.605084
pirates3,pirates2,0.479311
pirates4,pirates1,0.605084
pirates4,pirates2,0.479311
reservoir_dogs,the_departed,0.466418
reservoir_dogs,the_usual_suspects,0.325584
reservoir_dogs,fargo,0.291007
rogue_one,sw7,0.501265
rogue_one,sw4,0.497922
rogue_one,pirates3,0.454619
se7en,the_departed,0.588225
se7en,the_usual_suspects,0.465149
se7en,lotr1,0.278326
sw1,sw2,1.06175
sw1,sw5,0.668697
sw1,sw4,0.491327
sw2,sw1,1.06175
sw2,sw5,0.628441
sw2,sw4,0.545226
sw3,pirates1,0.182324
sw3,sw1,0.176049
sw3,sw2,0.172615
sw4,sw5,0.704671
sw4,sw7,0.638604
sw4,sw2,0.545226
sw5,sw4,0.704671
sw5,sw1,0.668697
sw5,sw2,0.628441
sw6,sw5,0.50444
sw6,sw2,0.494164
sw6,sw4,0.4717
sw7,sw4,0.638604
sw7,rogue_one,0.501265
sw7,sw2,0.482027
the_departed,se7en,0.588225
the_departed,reservoir_dogs,0.466418
the_departed,fargo,0.382508
the_usual_suspects,se7en,0.465149
the_usual_suspects,reservoir_dogs,0.325584
the_usual_suspects,the_departed,0.320417
