Source,Target,Weight
fargo,reservoir_dogs,1.096982
fargo,the_departed,1.042187
fargo,the_usual_suspects,0.791467
hobbit1,hobbit3,1.386161
hobbit1,lotr2,1.212692
hobbit1,lotr1,0.856252
hobbit3,hobbit1,1.386161
hobbit3,lotr2,0.944134
hobbit3,rogue_one,0.759171
lotr1,lotr2,1.716576
lotr1,lotr3,1.116151
lotr1,hobbit1,0.856252
lotr2,lotr1,1.716576
lotr2,lotr3,1.694255
lotr2,hobbit1,1.212692
lotr3,lotr2,1.694255
lotr3,lotr1,1.116151
lotr3,hobbit1,0.772288
pirates1,pirates3,1.370323
pirates1,pirates4,1.370323
pirates1,pirates2,1.341491
pirates2,pirates1,1.341491
pirates2,pirates3,1.293158
pirates2,pirates4,1.293158
pirates3,pirates1,1.370323
pirates3,pirates2,1.293158
pirates4,pirates1,1.370323
pirates4,pirates2,1.293158
reservoir_dogs,the_departed,1.870575
reservoir_dogs,the_usual_suspects,1.553922
reservoir_dogs,fargo,1.096982
rogue_one,sw4,1.611463
rogue_one,sw5,1.147526
rogue_one,sw7,1.106899
se7en,the_departed,2.744124
se7en,the_usual_suspects,1.945514
se7en,sw4,1.246671
sw1,sw2,1.810492
sw1,sw4,1.049927
sw1,sw5,0.992112
sw2,sw1,1.810492
sw2,sw4,1.111333
sw2,sw5,1.086992
sw3,sw2,0.972739
sw3,sw1,0.832818
sw3,sw6,0.661171
sw4,sw5,1.687282
sw4,rogue_one,1.611463
sw4,sw6,1.358801
sw5,sw4,1.687282
sw5,sw6,1.466633
sw5,rogue_one,1.147526
sw6,sw5,1.466633
sw6,sw4,1.358801
sw6,rogue_one,1.008373
sw7,sw4,1.229101
sw7,sw5,1.133168
sw7,se7en,1.124153
the_departed,se7en,2.744124
the_departed,reservoir_dogs,1.870575
the_departed,the_usual_suspects,1.291391
the_usual_suspects,se7en,1.945514
the_usual_suspects,reservoir_dogs,1.553922
the_usual_suspects,the_departed,1.291391
