Source,Target,Weight
fargo,reservoir_dogs,4.359882
fargo,the_departed,4.274546
fargo,the_usual_suspects,4.176743
hobbit1,hobbit3,5.848535
hobbit1,lotr2,5.719319
hobbit1,lotr1,5.686632
hobbit3,hobbit1,5.848535
hobbit3,lotr2,5.691228
hobbit3,lotr3,5.516724
lotr1,lotr3,5.706655
lotr1,hobbit1,5.686632
lotr1,lotr2,5.651697
lotr2,lotr3,7.923616
lotr2,hobbit1,5.719319
lotr2,hobbit3,5.691228
lotr3,lotr2,7.923616
lotr3,lotr1,5.706655
lotr3,hobbit1,5.679269
pirates1,pirates2,7.102021
pirates1,pirates3,6.834055
pirates1,pirates4,6.834055
pirates2,pirates1,7.102021
pirates2,pirates3,6.576784
pirates2,pirates4,6.576784
pirates3,pirates1,6.834055
pirates3,pirates2,6.576784
pirates4,pirates1,6.834055
pirates4,pirates2,6.576784
reservoir_dogs,the_usual_suspects,5.823094
reservoir_dogs,the_departed,5.592247
reservoir_dogs,se7en,5.063804
rogue_one,sw7,5.7401
rogue_one,sw5,5.46275
rogue_one,pirates1,5.377848
se7en,the_usual_suspects,5.375448
se7en,sw4,5.138799
se7en,the_departed,5.089836
sw1,sw2,7.040171
sw1,sw5,5.610413
sw1,lotr2,5.555093
sw2,sw1,7.040171
sw2,sw5,6.013084
sw2,sw6,5.49674
sw3,sw1,4.770469
sw3,sw2,4.670693
sw3,sw6,4.246753
sw4,sw5,6.236397
sw4,rogue_one,5.227938
sw4,se7en,5.138799
sw5,sw4,6.236397
sw5,sw2,6.013084
sw5,sw6,5.880831
sw6,sw5,5.880831
sw6,sw2,5.49674
sw6,sw1,5.301046
sw7,sw5,5.850074
sw7,rogue_one,5.7401
sw7,sw1,5.468156
the_departed,the_usual_suspects,5.639108
the_departed,reservoir_dogs,5.592247
the_departed,se7en,5.089836
the_usual_suspects,reservoir_dogs,5.823094
the_usual_suspects,the_departed,5.639108
the_usual_suspects,se7en,5.375448
