Source,Target,Weight
fargo,the_departed,43.146223
fargo,reservoir_dogs,39.564787
fargo,sw7,34.817729
hobbit1,hobbit3,96.006144
hobbit1,lotr2,75.774797
hobbit1,lotr1,63.291139
hobbit3,hobbit1,96.006144
hobbit3,lotr2,56.009858
hobbit3,rogue_one,53.109565
lotr1,lotr2,91.99632
lotr1,hobbit1,63.291139
lotr1,lotr3,62.586056
lotr2,lotr3,103.691414
lotr2,lotr1,91.99632
lotr2,hobbit1,75.774797
lotr3,lotr2,103.691414
lotr3,lotr1,62.586056
lotr3,pirates3,58.520599
pirates1,pirates2,61.012813
pirates1,pirates3,59.9952
pirates1,pirates4,59.9952
pirates2,pirates3,74.057617
pirates2,pirates4,74.057617
pirates2,sw5,61.504398
pirates3,pirates2,74.057617
pirates3,pirates1,59.9952
pirates4,pirates2,74.057617
pirates4,pirates1,59.9952
reservoir_dogs,the_usual_suspects,86.355786
reservoir_dogs,the_departed,85.770649
reservoir_dogs,se7en,41.621577
rogue_one,sw4,100.060036
rogue_one,sw7,88.715401
rogue_one,sw5,86.221762
se7en,the_departed,98.843531
se7en,the_usual_suspects,92.038656
se7en,sw4,66.586763
sw1,sw2,121.565767
sw1,sw5,84.796065
sw1,sw4,82.481029
sw2,sw1,121.565767
sw2,sw5,87.062511
sw2,sw4,86.692674
sw3,sw2,47.728141
sw3,sw1,44.430622
sw3,rogue_one,38.427545
sw4,sw5,125.423304
sw4,sw7,100.877635
sw4,rogue_one,100.060036
sw5,sw4,125.423304
sw5,sw2,87.062511
sw5,rogue_one,86.221762
sw6,sw5,79.164028
sw6,sw4,78.443677
sw6,sw1,70.876745
sw7,sw4,100.877635
sw7,rogue_one,88.715401
sw7,sw5,77.772593
the_departed,se7en,98.843531
the_departed,reservoir_dogs,85.770649
the_departed,the_usual_suspects,63.682099
the_usual_suspects,se7en,92.038656
the_usual_suspects,reservoir_dogs,86.355786
the_usual_suspects,the_departed,63.682099
