Source,Target,Weight
fargo,the_departed,13.365768
fargo,reservoir_dogs,13.166384
fargo,sw7,9.899226
hobbit1,hobbit3,23.757484
hobbit1,lotr2,19.695507
hobbit1,lotr1,14.004818
hobbit3,hobbit1,23.757484
hobbit3,lotr2,13.16413
hobbit3,rogue_one,11.347904
lotr1,lotr2,25.477058
lotr1,lotr3,17.574692
lotr1,hobbit1,14.004818
lotr2,lotr3,29.70003
lotr2,lotr1,25.477058
lotr2,hobbit1,19.695507
lotr3,lotr2,29.70003
lotr3,lotr1,17.574692
lotr3,pirates3,13.447005
pirates1,pirates3,24.251831
pirates1,pirates4,24.251831
pirates1,pirates2,23.433472
pirates2,pirates1,23.433472
pirates2,pirates3,22.448705
pirates2,pirates4,22.448705
pirates3,pirates1,24.251831
pirates3,pirates2,22.448705
pirates4,pirates1,24.251831
pirates4,pirates2,22.448705
reservoir_dogs,the_departed,27.494432
reservoir_dogs,the_usual_suspects,24.032107
reservoir_dogs,se7en,14.5624
rogue_one,sw4,29.008209
rogue_one,sw7,22.369363
rogue_one,sw5,21.399987
se7en,the_departed,35.020137
se7en,the_usual_suspects,29.320354
se7en,sw4,19.476852
sw1,sw2,34.011292
sw1,sw4,19.221898
sw1,rogue_one,18.827428
sw2,sw1,34.011292
sw2,sw4,17.032873
sw2,sw5,16.617092
sw3,sw2,13.925831
sw3,sw1,13.051934
sw3,sw6,10.688443
sw4,rogue_one,29.008209
sw4,sw5,28.668081
sw4,sw7,21.775107
sw5,sw4,28.668081
sw5,sw6,25.523878
sw5,rogue_one,21.399987
sw6,sw5,25.523878
sw6,sw4,21.465676
sw6,rogue_one,17.582418
sw7,rogue_one,22.369363
sw7,sw4,21.775107
sw7,sw5,20.618557
the_departed,se7en,35.020137
the_departed,reservoir_dogs,27.494432
the_departed,the_usual_suspects,19.147918
the_usual_suspects,se7en,29.320354
the_usual_suspects,reservoir_dogs,24.032107
the_usual_suspects,the_departed,19.147918
