Source,Target,Weight
fargo,reservoir_dogs,3.535168
fargo,the_departed,3.497115
fargo,se7en,3.265082
hobbit1,lotr1,4.602674
hobbit1,lotr3,4.599943
hobbit1,pirates1,4.589029
hobbit3,hobbit1,4.581839
hobbit3,lotr2,4.522104
hobbit3,lotr3,4.291735
lotr1,lotr3,5.220487
lotr1,lotr2,4.738573
lotr1,hobbit1,4.602674
lotr2,lotr3,6.746
lotr2,sw1,4.845079
lotr2,lotr1,4.738573
lotr3,lotr2,6.746
lotr3,lotr1,5.220487
lotr3,pirates1,4.761497
pirates1,pirates3,6.446705
pirates1,pirates4,6.446705
pirates1,pirates2,6.328473
pirates2,pirates1,6.328473
pirates2,pirates3,5.446445
pirates2,pirates4,5.446445
pirates3,pirates1,6.446705
pirates3,pirates2,5.446445
pirates4,pirates1,6.446705
pirates4,pirates2,5.446445
reservoir_dogs,the_usual_suspects,5.082644
reservoir_dogs,se7en,4.554087
reservoir_dogs,the_departed,4.429561
rogue_one,sw7,4.918138
rogue_one,sw1,4.685289
rogue_one,pirates1,4.549156
se7en,the_usual_suspects,4.990568
se7en,reservoir_dogs,4.554087
se7en,sw4,4.470413
sw1,sw2,5.517911
sw1,sw3,5.209039
sw1,lotr2,4.845079
sw2,sw1,5.517911
sw2,sw3,5.014266
sw2,sw6,4.753371
sw3,sw1,5.209039
sw3,sw2,5.014266
sw3,sw6,4.242177
sw4,sw5,5.534984
sw4,sw1,4.594174
sw4,sw6,4.56719
sw5,sw4,5.534984
sw5,sw6,4.835941
sw5,sw7,4.616741
sw6,sw5,4.835941
sw6,sw2,4.753371
sw6,sw4,4.56719
sw7,rogue_one,4.918138
sw7,sw5,4.616741
sw7,sw4,4.556597
the_departed,the_usual_suspects,4.707167
the_departed,reservoir_dogs,4.429561
the_departed,se7en,4.172665
the_usual_suspects,reservoir_dogs,5.082644
the_usual_suspects,se7en,4.990568
the_usual_suspects,the_departed,4.707167
