Source,Target,Weight
fargo,reservoir_dogs,0.270553
fargo,the_departed,0.25609
fargo,the_usual_suspects,0.209936
hobbit1,lotr2,0.322688
hobbit1,hobbit3,0.297063
hobbit1,lotr1,0.208956
hobbit3,hobbit1,0.297063
hobbit3,lotr2,0.295366
hobbit3,rogue_one,0.209176
lotr1,lotr2,0.476907
lotr1,lotr3,0.290744
lotr1,sw2,0.222619
lotr2,lotr1,0.476907
lotr2,lotr3,0.343822
lotr2,hobbit1,0.322688
lotr3,lotr2,0.343822
lotr3,lotr1,0.290744
lotr3,sw2,0.233854
pirates1,lotr2,0.223404
pirates1,lotr3,0.219305
pirates1,pirates2,0.210203
pirates2,pirates3,0.254579
pirates2,pirates4,0.254579
pirates2,the_departed,0.21748
pirates3,pirates2,0.254579
pirates3,sw4,0.230267
pirates4,pirates2,0.254579
pirates4,sw4,0.230267
reservoir_dogs,the_departed,0.448148
reservoir_dogs,the_usual_suspects,0.384859
reservoir_dogs,fargo,0.270553
rogue_one,sw4,0.371321
rogue_one,sw5,0.266152
rogue_one,sw6,0.262977
se7en,the_departed,0.50796
se7en,the_usual_suspects,0.381372
se7en,sw4,0.269482
sw1,sw2,0.359505
sw1,sw4,0.307715
sw1,sw5,0.274482
sw2,sw1,0.359505
sw2,sw4,0.308935
sw2,sw5,0.287605
sw3,sw2,0.263923
sw3,sw1,0.216375
sw3,rogue_one,0.183123
sw4,rogue_one,0.371321
sw4,sw5,0.350816
sw4,sw6,0.322191
sw5,sw4,0.350816
sw5,sw6,0.304586
sw5,sw2,0.287605
sw6,sw4,0.322191
sw6,sw5,0.304586
sw6,rogue_one,0.262977
sw7,sw4,0.280474
sw7,rogue_one,0.252492
sw7,sw2,0.246914
the_departed,se7en,0.50796
the_departed,reservoir_dogs,0.448148
the_departed,the_usual_suspects,0.335101
the_usual_suspects,reservoir_dogs,0.384859
the_usual_suspects,se7en,0.381372
the_usual_suspects,the_departed,0.335101
