Source,Target,Weight
fargo,the_departed,2.159282
fargo,reservoir_dogs,1.583717
fargo,sw7,1.42334
hobbit1,hobbit3,3.272487
hobbit1,rogue_one,2.379038
hobbit1,lotr2,1.768497
hobbit3,hobbit1,3.272487
hobbit3,rogue_one,2.095711
hobbit3,lotr2,0.908256
lotr1,lotr2,3.831711
lotr1,lotr3,3.47594
lotr1,pirates1,2.420768
lotr2,lotr3,5.538877
lotr2,lotr1,3.831711
lotr2,sw1,2.803987
lotr3,lotr2,5.538877
lotr3,lotr1,3.47594
lotr3,pirates1,2.896913
pirates1,pirates2,5.242711
pirates1,pirates3,4.668273
pirates1,pirates4,4.668273
pirates2,pirates1,5.242711
pirates2,pirates3,4.14998
pirates2,pirates4,4.14998
pirates3,pirates1,4.668273
pirates3,pirates2,4.14998
pirates4,pirates1,4.668273
pirates4,pirates2,4.14998
reservoir_dogs,the_departed,3.097634
reservoir_dogs,the_usual_suspects,1.892287
reservoir_dogs,fargo,1.583717
rogue_one,sw4,3.214835
rogue_one,sw5,2.98926
rogue_one,sw7,2.883124
se7en,the_departed,3.296924
se7en,the_usual_suspects,3.027001
se7en,lotr1,1.92402
sw1,sw2,5.107904
sw1,sw6,4.267395
sw1,sw5,4.250689
sw2,sw1,5.107904
sw2,sw6,4.305038
sw2,sw4,3.242069
sw3,sw6,2.441991
sw3,sw5,2.140154
sw3,sw4,1.833776
sw4,sw5,5.709718
sw4,sw1,4.0839
sw4,sw6,3.835179
sw5,sw4,5.709718
sw5,sw6,4.488169
sw5,sw1,4.250689
sw6,sw5,4.488169
sw6,sw2,4.305038
sw6,sw1,4.267395
sw7,sw4,3.486264
sw7,rogue_one,2.883124
sw7,sw6,2.776043
the_departed,se7en,3.296924
the_departed,reservoir_dogs,3.097634
the_departed,fargo,2.159282
the_usual_suspects,se7en,3.027001
the_usual_suspects,the_departed,2.039476
the_usual_suspects,reservoir_dogs,1.892287
