Source,Target,Weight
fargo,reservoir_dogs,3.946268
fargo,the_departed,3.877307
fargo,the_usual_suspects,3.759879
hobbit1,lotr1,5.214226
hobbit1,lotr3,5.20592
hobbit1,lotr2,5.167077
hobbit3,hobbit1,5.160864
hobbit3,lotr2,5.097152
hobbit3,lotr3,4.956114
lotr1,lotr3,5.428204
lotr1,lotr2,5.269454
lotr1,hobbit1,5.214226
lotr2,lotr3,7.28693
lotr2,lotr1,5.269454
lotr2,hobbit1,5.167077
lotr3,lotr2,7.28693
lotr3,lotr1,5.428204
lotr3,hobbit1,5.20592
pirates1,pirates2,6.897551
pirates1,pirates3,6.63504
pirates1,pirates4,6.63504
pirates2,pirates1,6.897551
pirates2,pirates3,6.104112
pirates2,pirates4,6.104112
pirates3,pirates1,6.63504
pirates3,pirates2,6.104112
pirates4,pirates1,6.63504
pirates4,pirates2,6.104112
reservoir_dogs,the_usual_suspects,5.289298
reservoir_dogs,the_departed,5.082411
reservoir_dogs,se7en,4.605981
rogue_one,sw7,5.21458
rogue_one,pirates1,5.005807
rogue_one,sw5,4.872891
se7en,the_usual_suspects,4.997826
se7en,the_departed,4.660201
se7en,sw4,4.650319
sw1,sw2,6.491357
sw1,sw5,5.173734
sw1,lotr2,5.044009
sw2,sw1,6.491357
sw2,sw5,5.471687
sw2,sw6,5.137426
sw3,sw1,4.454839
sw3,sw2,4.287613
sw3,sw5,3.988131
sw4,sw5,5.627589
sw4,sw7,4.676437
sw4,rogue_one,4.654562
sw5,sw4,5.627589
sw5,sw6,5.536761
sw5,sw7,5.507214
sw6,sw5,5.536761
sw6,sw2,5.137426
sw6,sw1,4.892727
sw7,sw5,5.507214
sw7,rogue_one,5.21458
sw7,pirates1,5.03885
the_departed,the_usual_suspects,5.16585
the_departed,reservoir_dogs,5.082411
the_departed,se7en,4.660201
the_usual_suspects,reservoir_dogs,5.289298
the_usual_suspects,the_departed,5.16585
the_usual_suspects,se7en,4.997826
