Source,Target,Weight
fargo,the_departed,4.317137
fargo,reservoir_dogs,3.202511
fargo,sw7,2.882069
hobbit1,hobbit3,6.66298
hobbit1,rogue_one,4.819742
hobbit1,lotr2,3.670937
hobbit3,hobbit1,6.66298
hobbit3,rogue_one,4.213507
hobbit3,lotr2,1.90937
lotr1,lotr2,7.657965
lotr1,lotr3,6.971653
lotr1,pirates1,4.849849
lotr2,lotr3,11.164203
lotr2,lotr1,7.657965
lotr2,sw1,5.73148
lotr3,lotr2,11.164203
lotr3,lotr1,6.971653
lotr3,pirates1,5.792568
pirates1,pirates2,10.49362
pirates1,pirates3,9.431115
pirates1,pirates4,9.431115
pirates2,pirates1,10.49362
pirates2,pirates3,8.348012
pirates2,pirates4,8.348012
pirates3,pirates1,9.431115
pirates3,pirates2,8.348012
pirates4,pirates1,9.431115
pirates4,pirates2,8.348012
reservoir_dogs,the_departed,6.217591
reservoir_dogs,the_usual_suspects,3.946688
reservoir_dogs,fargo,3.202511
rogue_one,sw4,6.539795
rogue_one,sw5,6.074596
rogue_one,sw7,5.911773
se7en,the_departed,6.608992
se7en,the_usual_suspects,6.188617
se7en,lotr1,3.88431
sw1,sw2,10.215757
sw1,sw6,8.537887
sw1,sw5,8.502678
sw2,sw1,10.215757
sw2,sw6,8.61371
sw2,sw4,6.484117
sw3,sw6,4.885532
sw3,sw5,4.281115
sw3,sw4,3.667813
sw4,sw5,11.42348
sw4,sw1,8.167266
sw4,sw6,7.673831
sw5,sw4,11.42348
sw5,sw6,8.978998
sw5,sw1,8.502678
sw6,sw5,8.978998
sw6,sw2,8.61371
sw6,sw1,8.537887
sw7,sw4,7.015279
sw7,rogue_one,5.911773
sw7,sw6,5.611546
the_departed,se7en,6.608992
the_departed,reservoir_dogs,6.217591
the_departed,fargo,4.317137
the_usual_suspects,se7en,6.188617
the_usual_suspects,the_departed,4.181616
the_usual_suspects,reservoir_dogs,3.946688
